1 / 4950: [ 0, 3, 1, 0, 0 ], [ 0, 0, 1, 0 ]
2 / 4950: [ 0, 4, 0, 0, 0 ], [ 0, 1, 1, 0 ]
3 / 4950: [ 0, 3, 1, 0, 0 ], [ 0, 1, 2, 0 ]
4 / 4950: [ 0, 3, 1, 0, 0 ], [ 0, 1, 3, 0 ]
5 / 4950: [ 0, 2, 2, 0, 0 ], [ 0, 1, 4, 0 ]
6 / 4950: [ 0, 4, 0, 0, 0 ], [ 0, 2, 4, 0 ]
7 / 4950: [ 0, 4, 0, 0, 0 ], [ 0, 3, 4, 0 ]
8 / 4950: [ 0, 1, 0, 0, 0 ], [ 0, 3, 4, 0 ]
9 / 4950: [ 0, 2, 0, 0, 0 ], [ 0, 3, 4, 0 ]
10 / 4950: [ 0, 1, 0, 0, 0 ], [ 0, 3, 4, 0 ]
11 / 4950: [ 0, 4, 0, 0, 0 ], [ 0, 4, 4, 0 ]
12 / 4950: [ 0, 2, 0, 0, 0 ], [ 0, 4, 4, 0 ]
13 / 4950: [ 0, 3, 0, 0, 0 ], [ 0, 4, 4, 0 ]
14 / 4950: [ 0, 4, 0, 0, 0 ], [ 0, 5, 4, 0 ]
15 / 4950: [ 0, 3, 0, 0, 0 ], [ 0, 5, 4, 0 ]
16 / 4950: [ 0, 4, 0, 0, 0 ], [ 0, 6, 4, 0 ]
17 / 4950: [ 0, 4, 0, 0, 0 ], [ 0, 7, 4, 0 ]
18 / 4950: [ 0, 4, 0, 0, 0 ], [ 0, 8, 4, 0 ]
19 / 4950: [ 0, 4, 0, 0, 0 ], [ 0, 9, 4, 0 ]
20 / 4950: [ 0, 3, 0, 0, 0 ], [ 0, 9, 4, 0 ]
21 / 4950: [ 0, 4, 0, 0, 0 ], [ 0, 10, 4, 0 ]
22 / 4950: [ 0, 0, 0, 0, 0 ], [ 0, 10, 4, 0 ]
23 / 4950: [ 0, 0, 2, 0, 0 ], [ 0, 10, 4, 0 ]
24 / 4950: [ 0, 4, 0, 0, 0 ], [ 0, 11, 4, 0 ]
25 / 4950: [ 0, 4, 0, 0, 0 ], [ 0, 12, 4, 0 ]
26 / 4950: [ 0, 1, 0, 0, 0 ], [ 0, 12, 4, 0 ]
27 / 4950: [ 0, 2, 0, 0, 0 ], [ 0, 12, 4, 0 ]
28 / 4950: [ 0, 4, 0, 0, 0 ], [ 0, 13, 4, 0 ]
29 / 4950: [ 0, 4, 0, 0, 0 ], [ 0, 14, 4, 0 ]
30 / 4950: [ 0, 4, 0, 0, 0 ], [ 0, 15, 4, 0 ]
31 / 4950: [ 0, 4, 0, 0, 0 ], [ 0, 16, 4, 0 ]
32 / 4950: [ 0, 0, 1, 0, 0 ], [ 0, 16, 4, 0 ]
33 / 4950: [ 0, 4, 0, 0, 0 ], [ 0, 17, 4, 0 ]
34 / 4950: [ 0, 4, 0, 0, 0 ], [ 0, 18, 4, 0 ]
35 / 4950: [ 0, 0, 0, 0, 0 ], [ 0, 18, 4, 0 ]
36 / 4950: [ 0, 0, 0, 0, 0 ], [ 0, 18, 4, 0 ]
37 / 4950: [ 0, 0, 0, 0, 0 ], [ 0, 18, 4, 0 ]
38 / 4950: [ 0, 3, 1, 0, 0 ], [ 0, 18, 5, 0 ]
39 / 4950: [ 0, 4, 0, 0, 0 ], [ 0, 19, 5, 0 ]
40 / 4950: [ 0, 4, 0, 0, 0 ], [ 0, 20, 5, 0 ]
41 / 4950: [ 0, 0, 0, 0, 0 ], [ 0, 20, 5, 0 ]
42 / 4950: [ 0, 4, 0, 0, 0 ], [ 0, 21, 5, 0 ]
43 / 4950: [ 0, 4, 0, 0, 0 ], [ 0, 22, 5, 0 ]
44 / 4950: [ 0, 4, 0, 0, 0 ], [ 0, 23, 5, 0 ]
45 / 4950: [ 0, 4, 0, 0, 0 ], [ 0, 24, 5, 0 ]
46 / 4950: [ 0, 4, 0, 0, 0 ], [ 0, 25, 5, 0 ]
47 / 4950: [ 0, 1, 0, 0, 0 ], [ 0, 25, 5, 0 ]
48 / 4950: [ 0, 4, 0, 0, 0 ], [ 0, 26, 5, 0 ]
49 / 4950: [ 0, 3, 0, 0, 0 ], [ 0, 26, 5, 0 ]
50 / 4950: [ 0, 2, 0, 0, 0 ], [ 0, 26, 5, 0 ]
51 / 4950: [ 0, 4, 0, 0, 0 ], [ 0, 27, 5, 0 ]
52 / 4950: [ 0, 2, 0, 0, 0 ], [ 0, 27, 5, 0 ]
53 / 4950: [ 0, 3, 0, 0, 0 ], [ 0, 27, 5, 0 ]
54 / 4950: [ 0, 4, 0, 0, 0 ], [ 0, 28, 5, 0 ]
55 / 4950: [ 0, 3, 0, 0, 0 ], [ 0, 28, 5, 0 ]
56 / 4950: [ 0, 4, 0, 0, 0 ], [ 0, 29, 5, 0 ]
57 / 4950: [ 0, 3, 0, 0, 0 ], [ 0, 29, 5, 0 ]
58 / 4950: [ 0, 4, 0, 0, 0 ], [ 0, 30, 5, 0 ]
59 / 4950: [ 0, 4, 0, 0, 0 ], [ 0, 31, 5, 0 ]
60 / 4950: [ 0, 4, 0, 0, 0 ], [ 0, 32, 5, 0 ]
61 / 4950: [ 0, 4, 0, 0, 0 ], [ 0, 33, 5, 0 ]
62 / 4950: [ 0, 3, 1, 0, 0 ], [ 0, 33, 6, 0 ]
63 / 4950: [ 0, 4, 0, 0, 0 ], [ 0, 34, 6, 0 ]
64 / 4950: [ 0, 4, 0, 0, 0 ], [ 0, 35, 6, 0 ]
65 / 4950: [ 0, 4, 0, 0, 0 ], [ 0, 36, 6, 0 ]
66 / 4950: [ 0, 4, 0, 0, 0 ], [ 0, 37, 6, 0 ]
67 / 4950: [ 0, 4, 0, 0, 0 ], [ 0, 38, 6, 0 ]
68 / 4950: [ 0, 4, 0, 0, 0 ], [ 0, 39, 6, 0 ]
69 / 4950: [ 0, 4, 0, 0, 0 ], [ 0, 40, 6, 0 ]
70 / 4950: [ 0, 0, 1, 0, 0 ], [ 0, 40, 6, 0 ]
71 / 4950: [ 0, 4, 0, 0, 0 ], [ 0, 41, 6, 0 ]
72 / 4950: [ 0, 2, 0, 0, 0 ], [ 0, 41, 6, 0 ]
73 / 4950: [ 0, 3, 0, 0, 0 ], [ 0, 41, 6, 0 ]
74 / 4950: [ 0, 3, 0, 0, 0 ], [ 0, 41, 6, 0 ]
75 / 4950: [ 0, 4, 0, 0, 0 ], [ 0, 42, 6, 0 ]
76 / 4950: [ 0, 3, 0, 0, 0 ], [ 0, 42, 6, 0 ]
77 / 4950: [ 0, 4, 0, 0, 0 ], [ 0, 43, 6, 0 ]
78 / 4950: [ 0, 4, 0, 0, 0 ], [ 0, 44, 6, 0 ]
79 / 4950: [ 0, 4, 0, 0, 0 ], [ 0, 45, 6, 0 ]
80 / 4950: [ 0, 3, 0, 0, 0 ], [ 0, 45, 6, 0 ]
81 / 4950: [ 0, 4, 0, 0, 0 ], [ 0, 46, 6, 0 ]
82 / 4950: [ 0, 0, 0, 0, 0 ], [ 0, 46, 6, 0 ]
83 / 4950: [ 0, 4, 0, 0, 0 ], [ 0, 47, 6, 0 ]
84 / 4950: [ 0, 3, 1, 0, 0 ], [ 0, 47, 7, 0 ]
85 / 4950: [ 0, 1, 0, 0, 0 ], [ 0, 47, 7, 0 ]
