1 / 4950: [ 0, 1, 0, 0, 0 ], [ 0, 1, 0, 0 ]
2 / 4950: [ 0, 1, 0, 0, 0 ], [ 0, 2, 0, 0 ]
3 / 4950: [ 0, 1, 0, 0, 0 ], [ 0, 3, 0, 0 ]
4 / 4950: [ 0, 1, 0, 0, 0 ], [ 0, 4, 0, 0 ]
5 / 4950: [ 0, 1, 0, 0, 0 ], [ 0, 5, 0, 0 ]
6 / 4950: [ 0, 0, 0, 0, 0 ], [ 0, 5, 0, 0 ]
7 / 4950: [ 0, 1, 0, 0, 0 ], [ 0, 6, 0, 0 ]
8 / 4950: [ 0, 1, 0, 0, 0 ], [ 0, 7, 0, 0 ]
9 / 4950: [ 0, 1, 0, 0, 0 ], [ 0, 8, 0, 0 ]
10 / 4950: [ 0, 1, 0, 0, 0 ], [ 0, 9, 0, 0 ]
11 / 4950: [ 0, 1, 0, 0, 0 ], [ 0, 10, 0, 0 ]
12 / 4950: [ 0, 1, 0, 0, 0 ], [ 0, 11, 0, 0 ]
13 / 4950: [ 0, 1, 0, 0, 0 ], [ 0, 12, 0, 0 ]
14 / 4950: [ 0, 1, 0, 0, 0 ], [ 0, 13, 0, 0 ]
15 / 4950: [ 0, 1, 0, 0, 0 ], [ 0, 14, 0, 0 ]
16 / 4950: [ 0, 1, 0, 0, 0 ], [ 0, 15, 0, 0 ]
17 / 4950: [ 0, 1, 0, 0, 0 ], [ 0, 16, 0, 0 ]
18 / 4950: [ 0, 1, 0, 0, 0 ], [ 0, 17, 0, 0 ]
19 / 4950: [ 0, 1, 0, 0, 0 ], [ 0, 18, 0, 0 ]
20 / 4950: [ 0, 1, 0, 0, 0 ], [ 0, 19, 0, 0 ]
21 / 4950: [ 0, 1, 0, 0, 0 ], [ 0, 20, 0, 0 ]
22 / 4950: [ 0, 0, 1, 0, 0 ], [ 0, 20, 1, 0 ]
23 / 4950: [ 0, 0, 0, 0, 0 ], [ 0, 20, 1, 0 ]
24 / 4950: [ 0, 0, 0, 0, 0 ], [ 0, 20, 1, 0 ]
25 / 4950: [ 0, 1, 0, 0, 0 ], [ 0, 21, 1, 0 ]
26 / 4950: [ 0, 1, 0, 0, 0 ], [ 0, 22, 1, 0 ]
27 / 4950: [ 0, 1, 0, 0, 0 ], [ 0, 23, 1, 0 ]
28 / 4950: [ 0, 0, 0, 0, 0 ], [ 0, 23, 1, 0 ]
29 / 4950: [ 0, 1, 0, 0, 0 ], [ 0, 24, 1, 0 ]
30 / 4950: [ 0, 1, 0, 0, 0 ], [ 0, 25, 1, 0 ]
31 / 4950: [ 0, 1, 0, 0, 0 ], [ 0, 26, 1, 0 ]
32 / 4950: [ 0, 0, 1, 0, 0 ], [ 0, 26, 2, 0 ]
33 / 4950: [ 0, 1, 0, 0, 0 ], [ 0, 27, 2, 0 ]
34 / 4950: [ 0, 1, 0, 0, 0 ], [ 0, 28, 2, 0 ]
35 / 4950: [ 0, 1, 0, 0, 0 ], [ 0, 29, 2, 0 ]
36 / 4950: [ 0, 0, 1, 0, 0 ], [ 0, 29, 3, 0 ]
37 / 4950: [ 0, 0, 0, 0, 0 ], [ 0, 29, 3, 0 ]
38 / 4950: [ 0, 0, 0, 0, 0 ], [ 0, 29, 3, 0 ]
39 / 4950: [ 0, 0, 0, 0, 0 ], [ 0, 29, 3, 0 ]
40 / 4950: [ 0, 0, 0, 0, 0 ], [ 0, 29, 3, 0 ]
41 / 4950: [ 0, 0, 0, 0, 0 ], [ 0, 29, 3, 0 ]
42 / 4950: [ 0, 0, 0, 0, 0 ], [ 0, 29, 3, 0 ]
43 / 4950: [ 0, 1, 0, 0, 0 ], [ 0, 30, 3, 0 ]
44 / 4950: [ 0, 0, 0, 0, 0 ], [ 0, 30, 3, 0 ]
45 / 4950: [ 0, 0, 0, 0, 0 ], [ 0, 30, 3, 0 ]
46 / 4950: [ 0, 1, 0, 0, 0 ], [ 0, 31, 3, 0 ]
47 / 4950: [ 0, 1, 0, 0, 0 ], [ 0, 32, 3, 0 ]
48 / 4950: [ 0, 1, 0, 0, 0 ], [ 0, 33, 3, 0 ]
49 / 4950: [ 0, 1, 0, 0, 0 ], [ 0, 34, 3, 0 ]
50 / 4950: [ 0, 1, 0, 0, 0 ], [ 0, 35, 3, 0 ]
51 / 4950: [ 0, 1, 0, 0, 0 ], [ 0, 36, 3, 0 ]
52 / 4950: [ 0, 0, 1, 0, 0 ], [ 0, 36, 4, 0 ]
53 / 4950: [ 0, 1, 0, 0, 0 ], [ 0, 37, 4, 0 ]
54 / 4950: [ 0, 1, 0, 0, 0 ], [ 0, 38, 4, 0 ]
55 / 4950: [ 0, 0, 0, 0, 0 ], [ 0, 38, 4, 0 ]
56 / 4950: [ 0, 0, 1, 0, 0 ], [ 0, 38, 5, 0 ]
57 / 4950: [ 0, 1, 0, 0, 0 ], [ 0, 39, 5, 0 ]
58 / 4950: [ 0, 1, 0, 0, 0 ], [ 0, 40, 5, 0 ]
59 / 4950: [ 0, 1, 0, 0, 0 ], [ 0, 41, 5, 0 ]
60 / 4950: [ 0, 1, 0, 0, 0 ], [ 0, 42, 5, 0 ]
61 / 4950: [ 0, 1, 0, 0, 0 ], [ 0, 43, 5, 0 ]
62 / 4950: [ 0, 1, 0, 0, 0 ], [ 0, 44, 5, 0 ]
63 / 4950: [ 0, 1, 0, 0, 0 ], [ 0, 45, 5, 0 ]
64 / 4950: [ 0, 1, 0, 0, 0 ], [ 0, 46, 5, 0 ]
65 / 4950: [ 0, 0, 0, 0, 0 ], [ 0, 46, 5, 0 ]
66 / 4950: [ 0, 1, 0, 0, 0 ], [ 0, 47, 5, 0 ]
67 / 4950: [ 0, 1, 0, 0, 0 ], [ 0, 48, 5, 0 ]
68 / 4950: [ 0, 1, 0, 0, 0 ], [ 0, 49, 5, 0 ]
69 / 4950: [ 0, 1, 0, 0, 0 ], [ 0, 50, 5, 0 ]
70 / 4950: [ 0, 1, 0, 0, 0 ], [ 0, 51, 5, 0 ]
71 / 4950: [ 0, 1, 0, 0, 0 ], [ 0, 52, 5, 0 ]
72 / 4950: [ 0, 1, 0, 0, 0 ], [ 0, 53, 5, 0 ]
73 / 4950: [ 0, 1, 0, 0, 0 ], [ 0, 54, 5, 0 ]
74 / 4950: [ 0, 1, 0, 0, 0 ], [ 0, 55, 5, 0 ]
75 / 4950: [ 0, 1, 0, 0, 0 ], [ 0, 56, 5, 0 ]
76 / 4950: [ 0, 0, 0, 0, 0 ], [ 0, 56, 5, 0 ]
77 / 4950: [ 0, 1, 0, 0, 0 ], [ 0, 57, 5, 0 ]
78 / 4950: [ 0, 0, 1, 0, 0 ], [ 0, 57, 6, 0 ]
79 / 4950: [ 0, 1, 0, 0, 0 ], [ 0, 58, 6, 0 ]
80 / 4950: [ 0, 1, 0, 0, 0 ], [ 0, 59, 6, 0 ]
81 / 4950: [ 0, 1, 0, 0, 0 ], [ 0, 60, 6, 0 ]
82 / 4950: [ 0, 1, 0, 0, 0 ], [ 0, 61, 6, 0 ]
83 / 4950: [ 0, 1, 0, 0, 0 ], [ 0, 62, 6, 0 ]
84 / 4950: [ 0, 1, 0, 0, 0 ], [ 0, 63, 6, 0 ]
85 / 4950: [ 0, 1, 0, 0, 0 ], [ 0, 64, 6, 0 ]
86 / 4950: [ 0, 0, 0, 0, 0 ], [ 0, 64, 6, 0 ]
87 / 4950: [ 0, 1, 0, 0, 0 ], [ 0, 65, 6, 0 ]
88 / 4950: [ 0, 0, 0, 0, 0 ], [ 0, 65, 6, 0 ]
89 / 4950: [ 0, 0, 0, 1, 0 ], [ 0, 65, 6, 1 ]
90 / 4950: [ 0, 1, 0, 0, 0 ], [ 0, 66, 6, 1 ]
91 / 4950: [ 0, 1, 0, 0, 0 ], [ 0, 67, 6, 1 ]
92 / 4950: [ 0, 1, 0, 0, 0 ], [ 0, 68, 6, 1 ]
93 / 4950: [ 0, 1, 0, 0, 0 ], [ 0, 69, 6, 1 ]
94 / 4950: [ 0, 1, 0, 0, 0 ], [ 0, 70, 6, 1 ]
95 / 4950: [ 0, 1, 0, 0, 0 ], [ 0, 71, 6, 1 ]
96 / 4950: [ 0, 1, 0, 0, 0 ], [ 0, 72, 6, 1 ]
97 / 4950: [ 0, 1, 0, 0, 0 ], [ 0, 73, 6, 1 ]
98 / 4950: [ 0, 1, 0, 0, 0 ], [ 0, 74, 6, 1 ]
99 / 4950: [ 0, 1, 0, 0, 0 ], [ 0, 75, 6, 1 ]
100 / 4950: [ 0, 1, 0, 0, 0 ], [ 0, 76, 6, 1 ]
101 / 4950: [ 0, 0, 0, 0, 0 ], [ 0, 76, 6, 1 ]
102 / 4950: [ 0, 1, 0, 0, 0 ], [ 0, 77, 6, 1 ]
103 / 4950: [ 0, 1, 0, 0, 0 ], [ 0, 78, 6, 1 ]
104 / 4950: [ 0, 1, 0, 0, 0 ], [ 0, 79, 6, 1 ]
105 / 4950: [ 0, 1, 0, 0, 0 ], [ 0, 80, 6, 1 ]
106 / 4950: [ 0, 0, 0, 0, 0 ], [ 0, 80, 6, 1 ]
107 / 4950: [ 0, 1, 0, 0, 0 ], [ 0, 81, 6, 1 ]
108 / 4950: [ 0, 1, 0, 0, 0 ], [ 0, 82, 6, 1 ]
109 / 4950: [ 0, 1, 0, 0, 0 ], [ 0, 83, 6, 1 ]
110 / 4950: [ 0, 1, 0, 0, 0 ], [ 0, 84, 6, 1 ]
111 / 4950: [ 0, 1, 0, 0, 0 ], [ 0, 85, 6, 1 ]
112 / 4950: [ 0, 1, 0, 0, 0 ], [ 0, 86, 6, 1 ]
113 / 4950: [ 0, 1, 0, 0, 0 ], [ 0, 87, 6, 1 ]
114 / 4950: [ 0, 1, 0, 0, 0 ], [ 0, 88, 6, 1 ]
115 / 4950: [ 0, 0, 0, 0, 0 ], [ 0, 88, 6, 1 ]
116 / 4950: [ 0, 0, 1, 0, 0 ], [ 0, 88, 7, 1 ]
117 / 4950: [ 0, 1, 0, 0, 0 ], [ 0, 89, 7, 1 ]
118 / 4950: [ 0, 1, 0, 0, 0 ], [ 0, 90, 7, 1 ]
119 / 4950: [ 0, 1, 0, 0, 0 ], [ 0, 91, 7, 1 ]
120 / 4950: [ 0, 1, 0, 0, 0 ], [ 0, 92, 7, 1 ]
121 / 4950: [ 0, 1, 0, 0, 0 ], [ 0, 93, 7, 1 ]
122 / 4950: [ 0, 1, 0, 0, 0 ], [ 0, 94, 7, 1 ]
123 / 4950: [ 0, 0, 0, 0, 0 ], [ 0, 94, 7, 1 ]
124 / 4950: [ 0, 1, 0, 0, 0 ], [ 0, 95, 7, 1 ]
125 / 4950: [ 0, 0, 1, 0, 0 ], [ 0, 95, 8, 1 ]
126 / 4950: [ 0, 0, 0, 0, 0 ], [ 0, 95, 8, 1 ]
127 / 4950: [ 0, 1, 0, 0, 0 ], [ 0, 96, 8, 1 ]
128 / 4950: [ 0, 0, 0, 0, 0 ], [ 0, 96, 8, 1 ]
129 / 4950: [ 0, 0, 0, 0, 0 ], [ 0, 96, 8, 1 ]
130 / 4950: [ 0, 0, 0, 0, 0 ], [ 0, 96, 8, 1 ]
131 / 4950: [ 0, 0, 0, 0, 0 ], [ 0, 96, 8, 1 ]
132 / 4950: [ 0, 0, 1, 0, 0 ], [ 0, 96, 9, 1 ]
133 / 4950: [ 0, 1, 0, 0, 0 ], [ 0, 97, 9, 1 ]
134 / 4950: [ 0, 1, 0, 0, 0 ], [ 0, 98, 9, 1 ]
135 / 4950: [ 0, 0, 0, 0, 0 ], [ 0, 98, 9, 1 ]
136 / 4950: [ 0, 0, 0, 0, 0 ], [ 0, 98, 9, 1 ]
137 / 4950: [ 0, 1, 0, 0, 0 ], [ 0, 99, 9, 1 ]
138 / 4950: [ 0, 1, 0, 0, 0 ], [ 0, 100, 9, 1 ]
139 / 4950: [ 0, 1, 0, 0, 0 ], [ 0, 101, 9, 1 ]
140 / 4950: [ 0, 1, 0, 0, 0 ], [ 0, 102, 9, 1 ]
141 / 4950: [ 0, 1, 0, 0, 0 ], [ 0, 103, 9, 1 ]
142 / 4950: [ 0, 1, 0, 0, 0 ], [ 0, 104, 9, 1 ]
143 / 4950: [ 0, 1, 0, 0, 0 ], [ 0, 105, 9, 1 ]
144 / 4950: [ 0, 1, 0, 0, 0 ], [ 0, 106, 9, 1 ]
145 / 4950: [ 0, 0, 0, 0, 0 ], [ 0, 106, 9, 1 ]
146 / 4950: [ 0, 0, 0, 0, 0 ], [ 0, 106, 9, 1 ]
147 / 4950: [ 0, 1, 0, 0, 0 ], [ 0, 107, 9, 1 ]
148 / 4950: [ 0, 1, 0, 0, 0 ], [ 0, 108, 9, 1 ]
149 / 4950: [ 0, 1, 0, 0, 0 ], [ 0, 109, 9, 1 ]
150 / 4950: [ 0, 1, 0, 0, 0 ], [ 0, 110, 9, 1 ]
151 / 4950: [ 0, 1, 0, 0, 0 ], [ 0, 111, 9, 1 ]
152 / 4950: [ 0, 1, 0, 0, 0 ], [ 0, 112, 9, 1 ]
153 / 4950: [ 0, 1, 0, 0, 0 ], [ 0, 113, 9, 1 ]
154 / 4950: [ 0, 1, 0, 0, 0 ], [ 0, 114, 9, 1 ]
155 / 4950: [ 0, 1, 0, 0, 0 ], [ 0, 115, 9, 1 ]
156 / 4950: [ 0, 1, 0, 0, 0 ], [ 0, 116, 9, 1 ]
157 / 4950: [ 0, 1, 0, 0, 0 ], [ 0, 117, 9, 1 ]
158 / 4950: [ 0, 1, 0, 0, 0 ], [ 0, 118, 9, 1 ]
159 / 4950: [ 0, 1, 0, 0, 0 ], [ 0, 119, 9, 1 ]
160 / 4950: [ 0, 1, 0, 0, 0 ], [ 0, 120, 9, 1 ]
161 / 4950: [ 0, 1, 0, 0, 0 ], [ 0, 121, 9, 1 ]
162 / 4950: [ 0, 1, 0, 0, 0 ], [ 0, 122, 9, 1 ]
163 / 4950: [ 0, 0, 0, 0, 0 ], [ 0, 122, 9, 1 ]
164 / 4950: [ 0, 0, 1, 0, 0 ], [ 0, 122, 10, 1 ]
165 / 4950: [ 0, 1, 0, 0, 0 ], [ 0, 123, 10, 1 ]
166 / 4950: [ 0, 1, 0, 0, 0 ], [ 0, 124, 10, 1 ]
167 / 4950: [ 0, 1, 0, 0, 0 ], [ 0, 125, 10, 1 ]
168 / 4950: [ 0, 1, 0, 0, 0 ], [ 0, 126, 10, 1 ]
169 / 4950: [ 0, 1, 0, 0, 0 ], [ 0, 127, 10, 1 ]
170 / 4950: [ 0, 1, 0, 0, 0 ], [ 0, 128, 10, 1 ]
171 / 4950: [ 0, 1, 0, 0, 0 ], [ 0, 129, 10, 1 ]
172 / 4950: [ 0, 0, 0, 0, 0 ], [ 0, 129, 10, 1 ]
173 / 4950: [ 0, 0, 0, 0, 0 ], [ 0, 129, 10, 1 ]
174 / 4950: [ 0, 0, 0, 0, 0 ], [ 0, 129, 10, 1 ]
175 / 4950: [ 0, 0, 0, 0, 0 ], [ 0, 129, 10, 1 ]
176 / 4950: [ 0, 1, 0, 0, 0 ], [ 0, 130, 10, 1 ]
177 / 4950: [ 0, 0, 0, 0, 0 ], [ 0, 130, 10, 1 ]
178 / 4950: [ 0, 0, 0, 0, 0 ], [ 0, 130, 10, 1 ]
179 / 4950: [ 0, 0, 0, 0, 0 ], [ 0, 130, 10, 1 ]
180 / 4950: [ 0, 0, 0, 0, 0 ], [ 0, 130, 10, 1 ]
181 / 4950: [ 0, 0, 0, 0, 0 ], [ 0, 130, 10, 1 ]
182 / 4950: [ 0, 0, 0, 0, 0 ], [ 0, 130, 10, 1 ]
183 / 4950: [ 0, 0, 0, 0, 0 ], [ 0, 130, 10, 1 ]
184 / 4950: [ 0, 0, 0, 0, 0 ], [ 0, 130, 10, 1 ]
185 / 4950: [ 0, 1, 0, 0, 0 ], [ 0, 131, 10, 1 ]
186 / 4950: [ 0, 0, 0, 0, 0 ], [ 0, 131, 10, 1 ]
187 / 4950: [ 0, 1, 0, 0, 0 ], [ 0, 132, 10, 1 ]
188 / 4950: [ 0, 0, 0, 0, 0 ], [ 0, 132, 10, 1 ]
189 / 4950: [ 0, 0, 0, 0, 0 ], [ 0, 132, 10, 1 ]
190 / 4950: [ 0, 0, 0, 0, 0 ], [ 0, 132, 10, 1 ]
191 / 4950: [ 0, 1, 0, 0, 0 ], [ 0, 133, 10, 1 ]
192 / 4950: [ 0, 1, 0, 0, 0 ], [ 0, 134, 10, 1 ]
193 / 4950: [ 0, 0, 1, 0, 0 ], [ 0, 134, 11, 1 ]
194 / 4950: [ 0, 1, 0, 0, 0 ], [ 0, 135, 11, 1 ]
195 / 4950: [ 0, 1, 0, 0, 0 ], [ 0, 136, 11, 1 ]
196 / 4950: [ 0, 1, 0, 0, 0 ], [ 0, 137, 11, 1 ]
197 / 4950: [ 0, 1, 0, 0, 0 ], [ 0, 138, 11, 1 ]
198 / 4950: [ 0, 1, 0, 0, 0 ], [ 0, 139, 11, 1 ]
199 / 4950: [ 0, 0, 1, 0, 0 ], [ 0, 139, 12, 1 ]
